goal,goal_name,target,series_label,wb_code,unit,better,target2030
7,Affordable & Clean Energy,7.1,Access to electricity (% of population),EG.ELC.ACCS.ZS,%,up,100
7,Affordable & Clean Energy,7.2,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,%,up,
7,Affordable & Clean Energy,7.2,Electricity production from renewable sources (% of total),EG.ELC.RNEW.ZS,%,up,
7,Affordable & Clean Energy,7.3,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,kWh pc,up,
8,Decent Work & Economic Growth,8.5,"Unemployment, total (% of labor force)",SL.UEM.TOTL.ZS,%,down,
8,Decent Work & Economic Growth,8.2,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,,up,
8,Decent Work & Economic Growth,8.1,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,%,up,
8,Decent Work & Economic Growth,8.3,"Labor force participation rate, total (% ages 15+)",SL.TLF.CACT.ZS,%,up,
8,Decent Work & Economic Growth,8.5,"Youth unemployment, total (% of labor force ages 15-24)",SL.UEM.1524.ZS,%,down,
9,"Industry, Innovation & Infrastructure",9.2,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,%,up,
9,"Industry, Innovation & Infrastructure",9.5,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,%,up,
9,"Industry, Innovation & Infrastructure",9.c,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,,up,
9,"Industry, Innovation & Infrastructure",9.1,"Air transport, passengers carried",IS.AIR.PSGR,,up,
10,Reduced Inequalities,10.1,Income share held by lowest 20%,SI.DST.FRST.20,%,up,
10,Reduced Inequalities,10.1,Income share held by highest 10%,SI.DST.10TH.10,%,down,
10,Reduced Inequalities,10.c,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,%,up,
10,Reduced Inequalities,10.4,Gini index (World Bank estimate),SI.POV.GINI,,down,
11,Sustainable Cities & Communities,11.6,"PM2.5 air pollution, population-weighted (µg/m³)",EN.ATM.PM25.MC.M3,,down,
11,Sustainable Cities & Communities,11.1,Urban population (% of total population),SP.URB.TOTL.IN.ZS,%,up,
11,Sustainable Cities & Communities,11.2,"Road traffic injury death rate (per 100,000)",SH.STA.TRAF.P5,,down,
12,Responsible Consumption & Production,12.2,Domestic material consumption per capita (tons),EN.MAT.DMCM.PC.TN,tons,down,
12,Responsible Consumption & Production,12.5,Recycling rate of municipal waste (proxy; add local series if available),,%,up,
13,Climate Action,13.2,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,t,down,
13,Climate Action,13.2,CO2 emissions (kt),EN.ATM.CO2E.KT,kt,down,
13,Climate Action,13.2,CO2 emissions per PPP $ of GDP (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.KT.GD.PP.KD,kg/$,down,
14,Life Below Water,14.5,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,%,up,
14,Life Below Water,14.4,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,tons,down,
15,Life On Land,15.1,Forest area (% of land area),AG.LND.FRST.ZS,%,up,
15,Life On Land,15.5,"Red List Index (0–1, higher=better)",ER.MRN.LSTI.XQ,,up,
15,Life On Land,15.1,Terrestrial protected areas (% of total land area),ER.PTD.TOTL.ZS,%,up,
16,"Peace, Justice & Strong Institutions",16.1,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,down,
16,"Peace, Justice & Strong Institutions",16.6,Government effectiveness: Estimate,GE.EST,score,up,
16,"Peace, Justice & Strong Institutions",16.5,Control of corruption: Estimate,CC.EST,score,up,
16,"Peace, Justice & Strong Institutions",16.7,Political stability and absence of violence/terrorism: Estimate,PV.EST,score,up,
16,"Peace, Justice & Strong Institutions",16.3,Rule of law: Estimate,RL.EST,score,up,
17,Partnerships for the Goals,17.2,Net official development assistance received (% of GNI),DT.ODA.ODAT.GN.ZS,%,up,
17,Partnerships for the Goals,17.11,Trade (% of GDP),NE.TRD.GNFS.ZS,%,up,
17,Partnerships for the Goals,17.8,Individuals using the Internet (% of population),IT.NET.USER.ZS,%,up,
17,Partnerships for the Goals,17.3,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,%,up,
